Date,Week,Plant,Department,Model,Issue_Type,Severity,Affected_Units,Status
2026-01-01,W01,Dearborn,Logistics,Mustang,Safety Issue,Medium,12,Resolved
2026-01-01,W01,Dearborn,Paint Shop,Explorer,Safety Issue,High,19,Active
2026-01-01,W01,Dearborn,Body Shop,Ranger,Machine Failure,High,20,Resolved
2026-01-01,W01,Dearborn,Paint Shop,Bronco,Quality Issue,Medium,13,Active
2026-01-01,W01,Dearborn,Paint Shop,Expedition,Machine Failure,Low,10,Resolved
2026-01-01,W01,Dearborn,Paint Shop,Mach-E,Machine Failure,Low,11,Resolved
2026-01-01,W01,Chicago,Body Shop,Bronco,Safety Issue,Medium,13,Resolved
2026-01-01,W01,Chicago,Logistics,Expedition,Quality Issue,Medium,20,Resolved
2026-01-01,W01,Chicago,Paint Shop,Fusion,Inspection Failure,High,26,Resolved
2026-01-01,W01,Detroit,Paint Shop,F-150,Equipment Failure,High,21,Active
2026-01-01,W01,Detroit,Logistics,Mustang,Machine Failure,Medium,16,Active
2026-01-01,W01,Detroit,Body Shop,Edge,Safety Issue,Medium,13,Resolved
2026-01-01,W01,Detroit,Quality Check,Ranger,Equipment Failure,Medium,18,Active
2026-01-01,W01,Detroit,Paint Shop,Mach-E,Equipment Failure,Medium,17,Resolved
2026-01-01,W01,Kansas City,Paint Shop,F-150,Safety Issue,Medium,17,Active
2026-01-01,W01,Kansas City,Logistics,Explorer,Safety Issue,Medium,14,Active
2026-01-01,W01,Kansas City,Paint Shop,Edge,Machine Failure,Medium,19,Active
2026-01-01,W01,Kansas City,Assembly,Bronco,Inspection Failure,Medium,20,Resolved
2026-01-01,W01,Kansas City,Logistics,Expedition,Safety Issue,High,25,Active
2026-01-01,W01,Kansas City,Assembly,Fusion,Quality Issue,Low,12,Resolved
2026-01-01,W01,Kansas City,Quality Check,Mach-E,Inspection Failure,High,25,Active
2026-01-01,W01,Louisville,Body Shop,F-150,Quality Issue,Low,9,Active
2026-01-01,W01,Louisville,Assembly,Edge,Inspection Failure,Medium,16,Resolved
2026-01-01,W01,Louisville,Paint Shop,Ranger,Machine Failure,Low,9,Active
2026-01-01,W01,Louisville,Body Shop,Expedition,Safety Issue,Medium,15,Resolved
2026-01-01,W01,Louisville,Body Shop,Mach-E,Inspection Failure,Medium,23,Active
2026-01-01,W01,Valencia,Body Shop,Mustang,Inspection Failure,Medium,15,Resolved
2026-01-01,W01,Valencia,Paint Shop,Explorer,Equipment Failure,Medium,15,Resolved
2026-01-01,W01,Valencia,Logistics,Escape,Equipment Failure,High,23,Active
2026-01-01,W01,Valencia,Logistics,Bronco,Quality Issue,Medium,23,Active
2026-01-01,W01,Valencia,Logistics,Expedition,Inspection Failure,Medium,17,Resolved
2026-01-01,W01,Valencia,Body Shop,Fusion,Quality Issue,Low,10,Active
2026-01-01,W01,Valencia,Quality Check,Mach-E,Machine Failure,Medium,15,Active
2026-01-01,W01,Cologne,Logistics,Mustang,Machine Failure,Medium,13,Active
2026-01-01,W01,Cologne,Quality Check,Escape,Equipment Failure,Medium,13,Active
2026-01-01,W01,Cologne,Quality Check,Ranger,Quality Issue,Medium,19,Resolved
2026-01-01,W01,Cologne,Body Shop,Expedition,Machine Failure,Medium,18,Resolved
2026-01-01,W01,Cologne,Body Shop,Mach-E,Inspection Failure,Low,10,Active
2026-01-01,W01,Chennai,Paint Shop,Explorer,Inspection Failure,Medium,18,Active
2026-01-01,W01,Chennai,Body Shop,Escape,Safety Issue,Medium,20,Active
2026-01-01,W01,Chennai,Paint Shop,Expedition,Equipment Failure,Medium,22,Resolved
2026-01-01,W01,Chennai,Logistics,Fusion,Safety Issue,Medium,20,Active
2026-01-01,W01,Pune,Assembly,Explorer,Inspection Failure,Medium,12,Active
2026-01-01,W01,Pune,Paint Shop,Edge,Quality Issue,Low,11,Resolved
2026-01-01,W01,Pune,Quality Check,Ranger,Quality Issue,High,26,Active
2026-01-01,W01,Pune,Body Shop,Bronco,Inspection Failure,Medium,15,Resolved
2026-01-01,W01,Pune,Logistics,Expedition,Quality Issue,Medium,19,Active
2026-01-01,W01,Sanand,Body Shop,F-150,Inspection Failure,High,20,Resolved
2026-01-01,W01,Sanand,Logistics,Mustang,Equipment Failure,Medium,16,Active
2026-01-01,W01,Sanand,Body Shop,Edge,Equipment Failure,Medium,15,Active
2026-01-01,W01,Sanand,Quality Check,Ranger,Equipment Failure,Medium,20,Active
2026-01-01,W01,Sanand,Paint Shop,Mach-E,Safety Issue,Low,14,Active
2026-01-02,W01,Dearborn,Quality Check,F-150,Inspection Failure,High,17,Active
2026-01-02,W01,Dearborn,Assembly,Mustang,Inspection Failure,Medium,10,Active
2026-01-02,W01,Dearborn,Assembly,Explorer,Safety Issue,Low,7,Resolved
2026-01-02,W01,Dearborn,Assembly,Ranger,Quality Issue,Medium,18,Active
2026-01-02,W01,Dearborn,Body Shop,Bronco,Quality Issue,Medium,12,Active
2026-01-02,W01,Chicago,Assembly,Mustang,Safety Issue,Medium,14,Active
2026-01-02,W01,Chicago,Assembly,Ranger,Inspection Failure,High,21,Resolved
2026-01-02,W01,Chicago,Body Shop,Fusion,Safety Issue,Medium,18,Active
2026-01-02,W01,Chicago,Assembly,Mach-E,Machine Failure,Medium,19,Active
2026-01-02,W01,Detroit,Logistics,Escape,Quality Issue,High,23,Resolved
2026-01-02,W01,Detroit,Quality Check,Expedition,Machine Failure,Low,9,Resolved
2026-01-02,W01,Detroit,Quality Check,Mach-E,Equipment Failure,Medium,13,Resolved
2026-01-02,W01,Kansas City,Body Shop,Mustang,Equipment Failure,Medium,11,Active
2026-01-02,W01,Kansas City,Body Shop,Edge,Machine Failure,Medium,15,Active
2026-01-02,W01,Kansas City,Paint Shop,Fusion,Inspection Failure,Low,12,Resolved
2026-01-02,W01,Kansas City,Paint Shop,Mach-E,Machine Failure,High,28,Active
2026-01-02,W01,Louisville,Paint Shop,F-150,Equipment Failure,High,22,Resolved
2026-01-02,W01,Louisville,Paint Shop,Mustang,Equipment Failure,Low,10,Resolved
2026-01-02,W01,Louisville,Paint Shop,Explorer,Inspection Failure,High,22,Active
2026-01-02,W01,Louisville,Assembly,Escape,Safety Issue,High,21,Active
2026-01-02,W01,Louisville,Assembly,Edge,Machine Failure,Low,12,Active
2026-01-02,W01,Louisville,Paint Shop,Bronco,Quality Issue,High,25,Active
2026-01-02,W01,Louisville,Quality Check,Fusion,Equipment Failure,Low,10,Resolved
2026-01-02,W01,Valencia,Quality Check,Mustang,Quality Issue,High,22,Active
2026-01-02,W01,Valencia,Quality Check,Explorer,Quality Issue,Medium,17,Active
2026-01-02,W01,Valencia,Body Shop,Escape,Inspection Failure,Medium,19,Resolved
2026-01-02,W01,Valencia,Logistics,Edge,Machine Failure,High,22,Active
2026-01-02,W01,Valencia,Paint Shop,Ranger,Inspection Failure,Medium,22,Resolved
